Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2012/05/10,73.9,73.0,43.9,210.0,3205.0,15.0,3430.0,1655.0,1505.0,89.0,36.0,3285.0,145.0,53.24,271.42,95.82,234.22,265.14,97.26,58.07,5.72,87.23,0.41,45.04,48.46,40.96,3.94,17.82,55.0,0.01,39.8,41.45,10.1,21.28,13.18,78.0,0.04,36.8,40.0,34.2,17.02,13.76,13.1,61.0,63.4,74.52,0.2,13.14,0.14,0.22,2.8,1.9,2.96,0.0,0.2,0.07,0.2,3.5,3.67,3.7,0.0,0.07,0.33,1.1,11.0,11.08,12.08,0.03,0.32
2012/06/12,73.9,73.0,43.9,175.0,3205.0,15.0,3395.0,1645.0,1485.0,89.0,36.0,3255.0,140.0,53.36,271.03,95.82,234.05,264.95,96.71,58.54,4.77,87.23,0.41,44.77,48.18,40.42,3.8,18.47,55.0,0.01,39.8,41.45,10.1,21.93,12.68,78.0,0.04,36.8,40.0,34.2,16.52,14.76,12.6,61.0,63.4,74.52,0.2,13.64,0.14,0.22,2.8,1.9,2.96,0.0,0.2,0.07,0.2,3.5,3.67,3.7,0.0,0.07,0.33,1.2,11.0,11.18,12.18,0.03,0.32
2012/07/11,76.1,75.3,40.5,170.0,3050.0,15.0,3235.0,1610.0,1370.0,89.0,35.0,3105.0,130.0,52.51,267.16,94.96,232.39,263.15,95.82,55.66,4.62,83.01,0.41,43.82,47.21,37.29,3.54,17.97,55.0,0.01,39.8,41.45,11.1,20.43,12.33,78.0,0.25,36.8,40.0,35.1,15.48,15.01,12.6,61.0,63.4,74.52,0.25,13.84,0.14,0.22,2.8,1.9,2.96,0.0,0.2,0.07,0.2,3.4,3.62,3.65,0.0,0.02,0.33,1.2,11.0,11.18,12.18,0.03,0.32
2012/08/10,76.1,74.6,36.1,145.0,2692.0,20.0,2857.0,1515.0,1110.0,89.0,27.0,2742.0,115.0,51.94,260.46,91.88,227.03,256.92,93.97,53.38,3.94,73.27,0.54,41.23,44.41,30.21,3.13,18.27,55.0,0.0,38.2,39.85,13.5,19.92,12.39,81.0,0.25,36.8,39.89,37.6,16.15,14.51,12.6,59.5,63.4,74.52,0.25,11.84,0.14,0.22,2.6,1.8,2.85,0.0,0.11,0.07,0.2,3.2,3.42,3.45,0.0,0.02,0.43,1.1,10.7,11.05,11.95,0.03,0.25
2012/09/12,76.1,74.6,35.3,130.0,2634.0,20.0,2785.0,1500.0,1055.0,89.0,25.0,2670.0,115.0,53.65,258.13,91.78,226.91,256.73,93.74,53.1,3.55,71.69,0.54,40.82,43.94,28.71,3.13,18.47,55.0,0.0,38.2,39.85,13.5,20.12,13.99,81.0,0.25,36.8,39.89,39.1,16.25,14.91,12.6,59.5,63.9,75.02,0.25,11.74,0.14,0.22,2.6,1.8,2.85,0.0,0.11,0.07,0.2,3.2,3.42,3.45,0.0,0.02,0.33,1.1,10.7,11.05,11.95,0.03,0.15
2012/10/11,77.2,75.7,37.8,169.0,2860.0,20.0,3050.0,1540.0,1265.0,89.0,26.0,2920.0,130.0,54.79,264.28,93.46,228.99,258.76,96.2,57.56,4.61,77.84,0.54,41.91,45.05,34.43,3.53,18.94,55.0,0.0,38.7,40.35,12.0,21.59,13.48,81.0,0.25,36.8,39.89,37.4,17.44,14.74,12.6,61.0,64.2,75.32,0.25,12.77,0.17,0.22,2.6,1.8,2.85,0.0,0.14,0.07,0.2,3.35,3.57,3.6,0.0,0.02,0.33,1.1,10.7,11.05,11.95,0.03,0.15
2012/11/09,77.2,75.7,39.3,169.0,2971.0,20.0,3160.0,1560.0,1345.0,89.0,26.0,3021.0,140.0,56.0,267.6,96.01,231.14,261.03,98.55,60.02,4.61,80.86,0.54,42.46,45.61,36.61,3.8,19.0,55.0,0.0,38.7,40.35,12.0,21.65,13.31,81.0,0.25,36.9,39.99,37.4,17.17,15.92,12.6,63.0,65.4,76.58,0.25,14.69,0.15,0.22,2.6,1.8,2.83,0.0,0.14,0.07,0.2,3.35,3.57,3.6,0.0,0.02,0.43,1.1,11.0,11.35,12.25,0.03,0.25
2012/12/11,77.2,75.7,39.3,169.0,2971.0,20.0,3160.0,1570.0,1345.0,89.0,26.0,3031.0,130.0,56.0,267.72,96.31,231.14,261.25,98.85,59.93,4.61,80.86,0.54,42.73,45.88,36.61,3.53,19.0,55.0,0.0,38.2,39.85,12.0,22.15,12.97,81.0,0.25,36.9,40.1,37.4,16.72,15.92,12.6,63.0,65.4,76.58,0.25,14.69,0.15,0.22,2.6,1.8,2.83,0.0,0.14,0.07,0.2,3.35,3.57,3.6,0.0,0.02,0.56,0.95,11.3,11.65,12.55,0.03,0.23
2013/01/11,77.2,76.1,39.6,169.0,3015.0,20.0,3204.0,1605.0,1345.0,89.0,30.0,3070.0,135.0,55.1,269.41,96.51,232.44,262.67,98.9,59.46,4.61,82.06,0.54,43.68,46.94,36.61,3.67,18.1,54.0,0.0,38.2,39.85,11.0,21.25,12.97,82.5,0.25,36.9,40.1,38.4,17.22,15.92,12.6,63.0,65.65,76.83,0.3,14.39,0.15,0.22,2.75,1.89,2.92,0.0,0.2,0.07,0.2,3.35,3.57,3.6,0.0,0.02,0.55,0.95,11.3,11.65,12.55,0.03,0.22
2013/02/08,77.2,76.1,39.6,169.0,3015.0,20.0,3204.0,1615.0,1345.0,89.0,30.0,3080.0,125.0,55.25,269.5,96.55,232.06,262.32,98.86,60.12,4.61,82.06,0.54,43.95,47.21,36.61,3.4,18.1,53.0,0.0,37.3,38.95,10.9,21.25,12.97,83.5,0.19,36.9,40.1,38.4,18.16,15.92,12.6,63.0,65.65,76.83,0.3,14.39,0.15,0.22,2.75,1.89,2.92,0.0,0.2,0.07,0.2,3.35,3.57,3.6,0.0,0.02,0.7,0.95,11.3,11.8,12.7,0.03,0.22
