Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2017/05/10,89.5,88.6,48.0,435.0,4255.0,25.0,4715.0,1950.0,2150.0,101.0,34.0,4235.0,480.0,90.14,344.68,147.76,301.53,344.21,149.56,88.81,11.85,115.8,0.68,53.07,56.75,58.51,13.08,31.65,57.0,1.2,45.5,50.0,9.0,30.85,23.2,107.0,0.4,42.0,45.7,63.5,21.4,17.56,13.8,93.0,91.5,106.8,0.15,17.41,0.24,0.26,3.3,2.35,3.51,0.0,0.29,0.12,0.42,4.3,4.72,4.76,0.0,0.09,1.02,2.45,15.0,15.6,17.24,0.2,1.03
2017/06/09,89.5,88.6,48.0,450.0,4255.0,25.0,4730.0,1950.0,2150.0,101.0,34.0,4235.0,495.0,93.21,344.67,147.61,301.53,344.21,149.06,92.22,12.26,115.8,0.68,53.07,56.75,58.51,13.48,32.75,57.0,1.2,45.5,50.0,8.5,32.45,25.0,107.0,0.25,42.0,45.7,63.5,23.05,17.56,13.8,93.0,91.5,106.8,0.15,17.41,0.24,0.26,3.3,2.35,3.51,0.0,0.29,0.12,0.42,4.3,4.72,4.76,0.0,0.09,1.02,2.45,15.0,15.6,17.24,0.2,1.03
2017/07/12,89.5,88.7,48.0,410.0,4260.0,25.0,4695.0,1950.0,2150.0,101.0,34.0,4235.0,460.0,94.78,345.09,148.6,302.23,345.27,149.66,93.53,11.17,115.94,0.68,53.07,56.75,58.51,12.53,33.1,57.0,1.5,45.5,50.0,8.5,33.1,25.82,107.0,0.2,42.0,45.7,64.0,23.32,19.16,14.0,94.0,92.5,108.1,0.15,18.91,0.24,0.26,3.3,2.35,3.51,0.0,0.29,0.12,0.42,4.3,4.72,4.76,0.0,0.09,0.81,2.45,14.8,15.4,17.04,0.2,0.82
2017/08/10,89.5,88.7,49.4,370.0,4381.0,25.0,4777.0,1940.0,2225.0,101.0,35.0,4301.0,475.0,96.98,347.36,147.96,300.46,343.32,151.19,97.78,10.08,119.23,0.68,52.8,56.5,60.56,12.94,35.55,57.0,1.5,44.84,49.34,8.0,36.71,26.52,107.0,0.2,42.0,45.7,64.0,24.02,19.19,14.0,94.0,92.5,108.1,0.15,18.94,0.24,0.26,3.3,2.35,3.51,0.0,0.29,0.12,0.42,4.3,4.72,4.76,0.0,0.09,0.78,2.53,14.6,15.2,16.84,0.2,0.87
2017/09/12,89.5,88.7,49.9,345.0,4431.0,25.0,4801.0,1940.0,2250.0,101.0,35.0,4326.0,475.0,95.96,348.44,148.86,300.65,344.3,151.42,97.53,9.4,120.59,0.68,52.8,56.51,61.24,12.93,35.9,57.0,1.5,44.84,49.34,8.0,37.06,25.0,107.0,0.2,42.0,45.7,64.0,22.5,19.69,14.0,95.0,93.0,109.1,0.15,19.44,0.24,0.26,3.3,2.35,3.51,0.0,0.29,0.12,0.42,4.3,4.72,4.76,0.0,0.09,0.79,2.48,14.5,15.1,16.74,0.2,0.83
2017/10/12,90.2,89.5,49.5,301.0,4431.0,25.0,4757.0,1940.0,2250.0,101.0,35.0,4326.0,430.0,94.86,347.88,148.64,301.25,344.37,150.97,96.05,8.2,120.58,0.68,52.8,56.51,61.24,11.72,35.97,57.0,1.5,44.84,49.34,8.0,37.13,24.46,107.0,0.2,42.0,45.7,64.0,21.96,20.19,14.2,95.0,94.0,109.6,0.15,19.64,0.24,0.26,3.3,2.35,3.51,0.0,0.29,0.12,0.48,4.3,4.72,4.76,0.0,0.15,0.69,2.48,14.0,14.5,16.14,0.2,0.83
2017/11/09,90.2,89.5,49.5,301.0,4425.0,25.0,4752.0,1940.0,2250.0,101.0,35.0,4326.0,425.0,96.28,348.89,150.12,301.98,344.96,152.43,97.9,8.2,120.44,0.68,52.8,56.51,61.24,11.57,36.5,57.0,1.5,44.84,49.45,8.0,37.55,24.76,108.0,0.2,42.0,45.7,65.0,22.26,20.39,14.2,97.0,95.0,110.8,0.15,20.64,0.21,0.26,3.3,2.35,3.51,0.0,0.26,0.1,0.48,4.3,4.72,4.76,0.0,0.13,0.9,2.48,14.0,14.5,16.15,0.2,1.03
2017/12/12,90.2,89.5,49.5,301.0,4425.0,25.0,4752.0,1940.0,2225.0,106.0,35.0,4306.0,445.0,96.62,348.47,150.41,301.57,344.72,152.45,98.32,8.2,120.44,0.68,52.8,56.64,60.56,12.12,36.42,57.0,1.7,44.84,49.45,8.5,37.17,24.86,108.0,0.2,42.0,45.7,65.5,21.86,20.39,14.2,97.0,95.0,110.8,0.15,20.64,0.21,0.26,3.3,2.35,3.51,0.0,0.26,0.15,0.48,4.3,4.72,4.76,0.0,0.17,1.06,2.48,14.0,14.5,16.15,0.2,1.19
2018/01/12,90.1,89.5,49.1,302.0,4392.0,25.0,4718.0,1950.0,2160.0,106.0,33.0,4248.0,470.0,96.49,348.57,150.17,301.45,344.47,152.19,98.57,8.21,119.52,0.68,53.07,56.83,58.79,12.79,36.42,56.0,1.7,44.84,49.45,8.5,36.17,24.86,110.0,0.2,42.0,45.7,67.0,22.36,20.39,14.2,97.0,95.0,110.8,0.15,20.64,0.21,0.26,3.3,2.35,3.51,0.0,0.26,0.15,0.48,4.3,4.72,4.76,0.0,0.17,1.06,2.5,14.0,14.5,16.15,0.2,1.21
2018/02/08,90.1,89.5,49.1,302.0,4392.0,25.0,4718.0,1950.0,2100.0,106.0,33.0,4188.0,530.0,96.14,346.92,150.24,300.1,343.2,151.95,98.14,8.21,119.52,0.68,53.07,56.83,57.15,14.42,36.22,54.0,1.7,43.68,48.42,8.5,35.0,24.86,112.0,0.2,42.0,45.65,69.0,22.41,20.39,14.2,97.0,95.0,110.8,0.15,20.64,0.21,0.26,3.3,2.35,3.51,0.0,0.26,0.15,0.48,4.3,4.72,4.76,0.0,0.17,1.06,2.5,14.0,14.5,16.15,0.2,1.21
2018/03/08,90.1,89.5,49.1,302.0,4392.0,25.0,4718.0,1960.0,2065.0,106.0,33.0,4163.0,555.0,96.65,340.86,151.27,300.86,343.78,150.6,94.4,8.21,119.52,0.68,53.34,57.11,56.2,15.1,36.22,47.0,2.4,43.0,47.62,6.8,31.2,25.47,113.0,0.2,43.0,46.5,70.5,21.67,20.39,14.2,97.0,95.0,110.8,0.15,20.64,0.21,0.26,3.25,2.35,3.51,0.0,0.21,0.15,0.48,4.25,4.72,4.76,0.0,0.12,1.14,2.5,14.0,14.5,16.15,0.3,1.19
