Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2013/05/10,77.1,76.2,44.5,125.0,3390.0,15.0,3530.0,1695.0,1450.0,87.0,33.0,3264.0,265.0,62.46,285.5,104.29,239.21,270.18,107.12,74.96,3.39,92.26,0.41,46.13,49.38,39.46,7.22,23.15,54.5,0.0,38.0,39.68,12.0,25.97,21.65,85.0,0.05,37.0,40.3,41.5,24.9,11.39,12.0,69.0,67.35,78.63,0.3,13.46,0.16,0.21,2.76,1.95,3.0,0.0,0.13,0.04,0.28,3.55,3.8,3.84,0.0,0.04,0.42,1.0,12.1,12.1,13.02,0.05,0.45
2013/06/12,77.1,76.2,44.5,125.0,3390.0,15.0,3530.0,1695.0,1450.0,87.0,33.0,3264.0,265.0,61.21,285.3,104.34,239.18,270.15,107.02,73.69,3.39,92.26,0.41,46.13,49.38,39.46,7.22,24.95,54.5,0.0,38.0,39.68,12.0,27.77,18.6,85.0,0.05,37.0,40.3,41.5,21.85,11.39,12.0,69.0,67.35,78.63,0.3,13.46,0.16,0.21,2.76,1.95,3.0,0.0,0.13,0.05,0.28,3.55,3.8,3.84,0.0,0.04,0.42,1.0,12.1,12.1,13.02,0.05,0.45
2013/07/11,77.7,76.9,44.5,125.0,3420.0,15.0,3560.0,1695.0,1450.0,87.0,33.0,3264.0,295.0,61.52,285.89,104.45,239.47,270.53,107.21,74.12,3.39,93.08,0.41,46.13,49.38,39.46,8.04,24.45,53.5,0.0,38.0,39.68,12.0,26.27,18.6,85.0,0.05,37.0,40.3,41.5,21.85,11.59,12.5,69.0,67.65,78.93,0.3,13.86,0.16,0.21,2.76,1.95,3.0,0.0,0.13,0.05,0.28,3.55,3.8,3.84,0.0,0.04,0.43,1.15,12.1,12.23,13.15,0.08,0.45
2013/08/12,77.2,76.4,42.6,125.0,3255.0,15.0,3396.0,1675.0,1385.0,87.0,29.0,3176.0,220.0,62.22,281.72,104.45,237.93,268.72,107.4,72.27,3.41,88.6,0.41,45.59,48.73,37.69,5.99,25.95,53.5,0.0,37.0,38.68,13.7,27.07,17.76,85.0,0.05,37.0,40.1,41.5,21.21,11.59,12.5,69.0,67.65,78.93,0.3,13.86,0.1,0.21,2.76,1.95,2.99,0.0,0.08,0.05,0.28,3.55,3.8,3.84,0.0,0.04,0.25,1.15,12.1,12.23,13.15,0.08,0.27
2013/09/12,77.2,76.4,41.2,125.0,3149.0,15.0,3289.0,1655.0,1370.0,87.0,28.0,3140.0,150.0,61.55,281.66,104.5,238.24,268.89,107.29,71.54,3.41,85.71,0.41,45.04,48.16,37.29,4.08,26.08,53.5,0.0,37.5,39.18,12.7,27.7,16.44,88.0,0.1,37.0,40.1,42.5,21.94,12.09,12.2,69.0,68.15,79.3,0.2,13.79,0.1,0.21,2.76,1.95,2.99,0.0,0.08,0.05,0.28,3.55,3.8,3.84,0.0,0.04,0.25,1.15,12.1,12.23,13.15,0.08,0.27
2013/11/08,76.5,75.7,43.0,141.0,3258.0,15.0,3413.0,1685.0,1450.0,87.0,22.0,3243.0,170.0,60.11,283.54,104.4,239.57,270.0,107.83,70.23,3.83,88.66,0.41,45.86,48.81,39.46,4.63,24.35,53.5,0.0,38.5,40.18,9.7,27.98,15.76,88.0,0.1,37.0,40.1,44.0,19.76,12.19,12.2,69.0,68.35,79.5,0.23,13.66,0.22,0.21,2.76,1.95,3.02,0.0,0.17,0.05,0.28,3.55,3.8,3.84,0.0,0.04,0.2,1.13,12.1,12.23,13.15,0.08,0.2
2013/12/10,76.5,75.7,43.0,141.0,3258.0,25.0,3423.0,1690.0,1475.0,87.0,22.0,3274.0,150.0,60.18,284.94,105.12,240.47,270.87,108.77,70.62,3.83,88.66,0.68,45.99,48.96,40.14,4.07,24.4,54.5,0.0,39.0,40.7,9.7,28.5,15.76,88.0,0.1,37.0,40.1,44.0,19.76,12.19,12.2,69.0,68.35,79.5,0.23,13.66,0.22,0.21,2.86,2.02,3.09,0.0,0.2,0.05,0.28,3.65,3.85,3.89,0.0,0.09,0.2,1.13,12.3,12.23,13.15,0.08,0.4
2014/01/10,76.5,75.9,43.3,141.0,3289.0,25.0,3454.0,1700.0,1495.0,87.0,22.0,3304.0,150.0,60.55,286.83,105.2,240.36,270.92,109.32,72.33,3.83,89.51,0.68,46.27,49.24,40.69,4.09,24.4,54.5,0.0,38.3,40.0,9.7,29.2,15.93,89.0,0.15,37.28,40.38,44.0,20.7,12.39,12.2,69.0,68.35,79.65,0.23,13.71,0.22,0.21,2.86,2.02,3.09,0.0,0.2,0.05,0.28,3.65,3.85,3.89,0.0,0.09,0.2,1.13,12.3,12.23,13.15,0.08,0.39
2014/02/10,76.5,75.9,43.3,141.0,3289.0,30.0,3459.0,1700.0,1510.0,87.0,12.0,3309.0,150.0,58.65,287.69,105.33,238.75,269.34,109.33,73.01,3.83,89.51,0.82,46.27,48.96,41.1,4.09,22.4,54.0,0.0,36.6,38.6,8.0,29.81,15.93,90.0,0.15,37.28,40.38,45.0,20.7,12.38,12.2,69.0,68.35,79.65,0.23,13.7,0.22,0.21,2.86,2.02,3.09,0.0,0.2,0.05,0.28,3.65,3.85,3.89,0.0,0.09,0.31,1.13,12.3,12.23,13.15,0.08,0.5
2014/03/10,76.5,75.9,43.3,141.0,3289.0,35.0,3464.0,1690.0,1530.0,87.0,12.0,3319.0,145.0,57.79,285.43,105.34,239.04,269.7,108.22,70.64,3.83,89.51,0.95,45.99,48.69,41.64,3.95,22.4,54.0,0.0,36.6,38.6,8.0,29.81,15.93,88.5,0.15,37.28,40.38,45.0,19.2,12.38,12.2,69.0,68.35,79.65,0.23,13.7,0.22,0.21,2.86,2.02,3.09,0.0,0.2,0.05,0.28,3.65,3.85,3.89,0.0,0.09,0.31,1.25,12.3,12.35,13.27,0.08,0.5
