Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2011/05/11,76.6,75.7,43.4,170.0,3285.0,15.0,3470.0,1655.0,1540.0,90.0,25.0,3310.0,160.0,63.81,263.29,96.24,232.3,262.69,98.79,61.85,4.63,89.4,0.41,45.04,48.17,41.91,4.36,22.3,53.0,0.0,39.7,41.35,11.8,22.15,18.18,72.5,0.05,36.8,40.1,33.5,17.13,15.71,14.8,58.0,61.5,72.5,0.3,15.71,0.22,0.22,3.4,2.37,3.6,0.0,0.25,0.05,0.11,3.75,3.8,3.84,0.0,0.07,0.5,1.1,13.3,13.2,14.4,0.03,0.47
2011/06/09,76.6,75.7,43.4,180.0,3285.0,15.0,3480.0,1655.0,1520.0,90.0,25.0,3290.0,190.0,64.53,262.79,96.24,232.9,263.21,98.75,61.59,4.9,89.4,0.41,45.04,48.17,41.37,5.18,22.15,53.0,0.0,40.0,41.65,11.8,21.7,19.42,72.5,0.05,37.1,40.5,34.0,17.47,15.21,14.3,58.0,61.5,72.5,0.3,14.71,0.22,0.22,3.4,2.37,3.6,0.0,0.25,0.05,0.11,3.75,3.8,3.84,0.0,0.07,0.5,1.1,13.3,13.2,14.4,0.03,0.47
2011/07/12,75.2,74.3,43.4,200.0,3225.0,15.0,3440.0,1655.0,1495.0,90.0,25.0,3264.0,175.0,65.88,261.45,94.87,232.36,262.65,97.58,61.97,5.44,87.77,0.41,45.04,48.15,40.69,4.78,22.85,53.0,0.0,40.0,41.65,11.3,22.9,20.31,72.5,0.05,37.1,40.5,34.0,18.36,14.21,14.3,56.5,60.6,71.6,0.3,13.11,0.21,0.22,3.4,2.36,3.59,0.0,0.25,0.05,0.11,3.75,3.8,3.84,0.0,0.07,0.5,1.1,13.3,13.2,14.4,0.03,0.47
2011/08/11,75.0,73.8,41.4,230.0,3056.0,15.0,3301.0,1635.0,1400.0,90.0,21.0,3146.0,155.0,68.42,257.47,95.27,232.11,262.32,97.89,60.95,6.26,83.17,0.41,44.5,47.52,38.1,4.22,22.85,53.0,0.0,40.0,41.65,11.8,22.4,22.16,73.5,0.05,37.1,40.5,36.5,18.71,14.11,14.0,56.5,60.6,71.6,0.2,12.81,0.21,0.22,3.4,2.36,3.59,0.0,0.25,0.05,0.11,3.75,3.8,3.84,0.0,0.07,0.5,1.2,12.6,12.6,13.8,0.03,0.47
2011/09/12,75.0,73.8,41.8,225.0,3085.0,15.0,3325.0,1635.0,1415.0,88.0,23.0,3161.0,165.0,68.82,258.99,95.27,232.09,262.24,98.3,62.55,6.13,83.97,0.41,44.5,47.51,38.51,4.48,23.15,53.0,0.0,40.0,41.65,11.8,22.7,22.18,73.5,0.05,36.48,39.88,36.5,19.36,14.21,14.0,56.5,60.6,71.6,0.2,12.91,0.21,0.22,3.4,2.36,3.59,0.0,0.25,0.05,0.11,3.75,3.8,3.84,0.0,0.07,0.47,1.22,12.6,12.6,13.8,0.03,0.46
2011/10/12,75.0,73.7,41.5,215.0,3060.0,15.0,3290.0,1635.0,1375.0,88.0,32.0,3130.0,160.0,69.26,258.6,94.56,231.36,261.75,97.66,63.01,5.84,83.28,0.41,44.5,47.76,37.42,4.35,24.03,53.0,0.0,40.0,41.65,11.8,23.58,22.31,73.5,0.05,36.48,39.88,36.5,19.49,14.21,14.0,56.5,60.6,71.6,0.2,12.91,0.18,0.22,3.2,2.19,3.4,0.0,0.21,0.05,0.11,3.5,3.57,3.61,0.0,0.05,0.42,1.22,12.6,12.6,13.8,0.03,0.41
2011/11/09,75.0,73.7,41.3,215.0,3046.0,15.0,3275.0,1635.0,1325.0,88.0,32.0,3080.0,195.0,68.37,258.91,94.21,230.67,261.03,96.9,63.56,5.84,82.89,0.41,44.5,47.76,36.06,5.32,22.88,52.0,0.0,39.5,41.15,10.8,22.93,22.31,75.0,0.05,36.48,39.88,38.0,19.49,14.56,14.0,56.5,60.6,71.6,0.2,13.26,0.1,0.22,2.95,2.02,3.19,0.0,0.09,0.03,0.2,3.5,3.65,3.69,0.0,0.04,0.44,1.22,12.6,12.6,13.8,0.03,0.43
2011/12/09,75.0,73.7,41.3,215.0,3046.0,15.0,3275.0,1625.0,1300.0,88.0,32.0,3045.0,230.0,68.43,259.22,93.96,229.29,260.09,96.99,64.54,5.84,82.89,0.41,44.23,47.49,35.38,6.26,22.88,52.0,0.0,39.5,41.15,10.8,22.93,22.22,75.0,0.05,36.48,39.88,38.5,18.9,14.56,13.5,56.5,60.1,71.1,0.2,13.26,0.1,0.22,2.95,2.02,3.19,0.0,0.09,0.05,0.2,3.5,3.65,3.69,0.0,0.07,0.44,1.22,12.3,12.1,13.3,0.03,0.63
2012/01/12,75.0,73.6,41.5,215.0,3056.0,15.0,3286.0,1615.0,1275.0,88.0,32.0,3011.0,275.0,68.58,257.0,92.96,228.57,259.3,95.81,63.43,5.85,83.17,0.41,43.95,47.24,34.7,7.49,22.85,50.5,0.0,39.5,41.15,9.8,22.4,22.19,74.0,0.05,36.48,39.88,39.0,17.36,14.56,13.5,56.5,60.1,71.1,0.2,13.26,0.1,0.22,2.85,1.92,3.09,0.0,0.09,0.05,0.2,3.5,3.65,3.69,0.0,0.07,0.54,1.22,12.0,11.9,13.1,0.03,0.63
2012/02/09,75.0,73.6,41.5,215.0,3056.0,15.0,3286.0,1615.0,1275.0,88.0,32.0,3011.0,275.0,68.9,251.47,90.76,227.42,258.05,92.79,60.28,5.85,83.17,0.41,43.95,47.24,34.7,7.49,22.85,48.0,0.0,38.9,40.55,8.9,21.4,22.19,72.0,0.04,37.0,40.4,37.8,16.03,14.56,13.5,55.5,59.6,70.6,0.2,12.76,0.1,0.22,2.85,1.92,3.09,0.0,0.09,0.05,0.2,3.5,3.65,3.69,0.0,0.07,0.54,1.22,11.5,11.7,12.8,0.03,0.43
