Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2009/05/12,76.0,75.0,42.6,130.0,3195.0,12.0,3337.0,1675.0,1260.0,92.0,79.0,3107.0,230.0,42.55,241.72,74.40,200.83,231.49,75.30,51.88,3.53,86.95,0.33,45.59,50.26,34.29,6.26,16.00,51.00,0.00,35.10,36.73,9.40,20.88,14.90,60.00,0.15,31.60,34.64,24.00,16.42,6.34,15.60,38.10,43.05,53.35,0.40,6.29,0.18,0.23,3.95,2.75,4.11,0.00,0.25,0.03,0.16,3.49,3.62,3.65,0.00,0.03,0.51,0.80,12.90,12.60,13.73,0.03,0.45
2009/06/10,76.0,75.0,42.6,110.0,3195.0,12.0,3317.0,1675.0,1260.0,92.0,79.0,3107.0,210.0,41.85,241.67,74.40,201.00,231.55,75.35,51.02,2.99,86.95,0.33,45.59,50.26,34.29,5.72,16.00,51.00,0.00,35.10,36.73,9.40,20.88,13.94,60.00,0.15,31.60,34.64,24.00,15.46,7.26,15.60,38.10,43.25,53.45,0.45,7.06,0.10,0.23,3.95,2.75,4.11,0.00,0.17,0.03,0.16,3.49,3.62,3.65,0.00,0.03,0.51,0.80,12.90,12.60,13.73,0.03,0.45
2009/07/10,77.5,76.5,42.6,110.0,3260.0,10.0,3380.0,1680.0,1275.0,94.0,81.0,3130.0,250.0,41.04,243.73,74.84,201.29,231.92,75.86,51.83,2.98,88.72,0.27,45.72,50.49,34.70,6.79,15.24,51.00,0.50,35.10,36.73,9.40,20.61,13.68,60.00,0.15,31.60,34.64,24.00,15.20,7.51,15.60,38.10,43.25,53.45,0.50,7.26,0.10,0.23,3.95,2.75,4.11,0.00,0.17,0.03,0.16,3.49,3.62,3.65,0.00,0.03,0.51,0.80,12.90,12.60,13.73,0.03,0.45
2009/08/12,77.7,76.8,41.7,110.0,3199.0,10.0,3320.0,1670.0,1265.0,94.0,80.0,3109.0,210.0,41.00,242.07,74.54,200.72,231.34,75.96,50.32,3.00,87.07,0.27,45.45,50.19,34.43,5.72,15.24,51.00,0.50,35.10,36.73,9.70,20.31,13.38,60.00,0.15,31.60,34.64,24.00,14.90,7.51,15.40,38.10,43.25,53.45,0.50,7.06,0.10,0.23,3.95,2.75,4.11,0.00,0.17,0.03,0.16,3.49,3.62,3.65,0.00,0.03,0.51,0.95,12.40,12.10,13.24,0.03,0.59
2009/09/11,77.7,76.8,42.3,110.0,3245.0,10.0,3366.0,1690.0,1280.0,94.0,81.0,3145.0,220.0,40.22,243.94,75.04,201.01,231.63,77.04,50.53,3.00,88.32,0.27,45.99,50.77,34.84,6.00,15.24,51.00,0.50,35.50,37.13,9.70,19.91,11.83,62.00,0.15,31.60,34.64,24.45,14.90,8.24,15.00,38.50,43.40,53.65,0.50,7.59,0.10,0.23,3.95,2.75,4.11,0.00,0.17,0.03,0.12,3.54,3.62,3.65,0.00,0.03,0.51,0.95,12.40,12.10,13.24,0.03,0.59
2009/10/09,77.5,76.6,42.4,138.0,3250.0,10.0,3398.0,1690.0,1305.0,94.0,79.0,3169.0,230.0,42.05,246.07,76.14,201.02,231.62,77.85,54.79,3.76,88.45,0.27,45.99,50.72,35.52,6.25,16.08,52.50,0.50,35.00,36.63,9.70,22.75,11.60,62.00,0.15,31.60,34.64,23.65,15.47,8.69,14.50,39.50,43.80,54.05,0.50,8.14,0.10,0.23,3.95,2.75,4.11,0.00,0.17,0.03,0.12,3.54,3.62,3.65,0.00,0.03,0.51,0.95,12.40,12.10,13.24,0.03,0.59
2009/11/10,77.5,76.6,43.3,138.0,3319.0,8.0,3465.0,1695.0,1325.0,94.0,81.0,3195.0,270.0,42.39,250.23,77.49,202.49,233.36,79.37,57.39,3.76,90.34,0.22,46.13,50.90,36.06,7.36,16.03,53.00,0.50,35.00,36.63,10.15,22.75,11.67,63.00,0.15,31.84,34.79,23.95,16.08,9.01,14.50,40.50,44.10,54.63,0.50,8.88,0.09,0.23,3.95,2.75,4.11,0.00,0.16,0.03,0.12,3.54,3.62,3.65,0.00,0.03,0.39,1.00,12.70,12.30,13.45,0.03,0.61
2009/12/10,77.5,76.6,43.3,138.0,3319.0,8.0,3465.0,1695.0,1340.0,94.0,81.0,3210.0,255.0,42.41,250.25,77.79,202.95,233.75,79.61,57.09,3.76,90.34,0.22,46.13,50.90,36.47,6.95,16.03,53.00,0.30,35.00,36.63,10.15,22.55,11.67,63.00,0.15,31.84,34.79,23.75,16.28,9.01,14.50,41.00,44.48,55.01,0.50,9.00,0.09,0.23,3.95,2.75,4.11,0.00,0.16,0.03,0.12,3.54,3.62,3.65,0.00,0.03,0.38,0.99,12.70,12.30,13.45,0.03,0.59
2010/01/12,77.5,76.4,44.0,138.0,3361.0,8.0,3507.0,1710.0,1375.0,94.0,83.0,3262.0,245.0,42.87,253.38,78.91,203.86,234.75,80.61,59.80,3.76,91.47,0.22,46.54,51.36,37.42,6.67,16.19,53.00,0.15,35.00,36.63,9.85,22.86,11.67,65.00,0.15,32.10,35.05,24.00,17.77,9.01,14.50,42.00,44.78,55.31,0.50,9.70,0.09,0.23,3.95,2.75,4.11,0.00,0.16,0.04,0.11,3.50,3.56,3.60,0.00,0.05,0.68,0.99,13.00,12.60,13.85,0.03,0.79
2010/02/09,77.5,76.4,44.0,138.0,3361.0,8.0,3507.0,1720.0,1400.0,94.0,83.0,3297.0,210.0,41.64,255.02,79.58,204.22,235.12,81.39,59.73,3.76,91.47,0.22,46.81,51.64,38.10,5.71,16.19,53.00,0.00,35.30,36.94,7.85,24.40,10.55,66.00,0.15,31.60,34.55,25.30,16.85,9.01,14.50,42.50,44.93,55.46,0.50,10.05,0.09,0.23,3.95,2.75,4.11,0.00,0.16,0.04,0.11,3.50,3.56,3.60,0.00,0.05,0.56,0.99,13.00,12.50,13.77,0.03,0.75
