Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2016/05/10,82.2,81.4,46.7,400.0,3800.0,30.0,4230.0,1915.0,1885.0,95.0,30.0,3925.0,305.0,74.25,324.2,136.02,288.39,327.96,138.31,68.21,10.89,103.42,0.82,52.12,55.53,51.3,8.29,26.8,57.0,0.05,44.3,48.75,10.65,24.45,16.3,103.0,0.3,40.0,43.1,60.2,16.3,16.43,12.2,87.0,87.0,100.8,0.15,14.68,0.24,0.24,3.1,2.2,3.33,0.0,0.26,0.06,0.37,4.0,4.28,4.33,0.0,0.11,0.59,2.4,12.6,13.3,14.87,0.15,0.57
2016/06/10,82.2,81.4,46.7,370.0,3800.0,30.0,4200.0,1915.0,1900.0,95.0,30.0,3940.0,260.0,72.29,323.7,136.02,288.44,327.99,137.71,66.31,10.07,103.42,0.82,52.12,55.53,51.71,7.06,27.02,57.0,0.05,44.3,48.75,10.65,24.67,15.05,103.0,0.3,40.0,43.1,59.7,15.55,16.23,12.2,87.0,87.0,100.8,0.15,14.48,0.24,0.24,3.1,2.2,3.33,0.0,0.26,0.06,0.37,4.0,4.28,4.33,0.0,0.11,0.59,2.4,12.6,13.3,14.87,0.15,0.57
2016/07/12,83.7,83.0,46.7,350.0,3880.0,30.0,4260.0,1925.0,1920.0,95.0,30.0,3970.0,290.0,72.17,325.95,136.02,289.23,328.78,138.26,67.1,9.54,105.6,0.82,52.39,55.79,52.25,7.9,27.02,57.0,0.05,44.3,48.75,10.65,24.67,15.45,103.0,0.3,40.5,43.6,59.7,15.45,16.23,12.2,87.0,87.0,100.8,0.15,14.48,0.24,0.24,3.1,2.2,3.33,0.0,0.26,0.06,0.37,4.0,4.28,4.33,0.0,0.11,0.59,2.45,12.6,13.3,14.87,0.15,0.62
2016/08/12,83.7,83.0,48.9,255.0,4060.0,30.0,4346.0,1940.0,1950.0,95.0,31.0,4016.0,330.0,73.0,330.41,136.62,289.89,329.82,138.97,71.24,6.95,110.5,0.82,52.8,56.22,53.07,8.97,29.92,57.0,0.3,44.3,48.75,10.65,27.82,16.15,103.0,0.25,40.5,43.6,59.7,16.1,15.98,12.2,87.0,87.0,101.2,0.15,13.83,0.12,0.24,3.1,2.2,3.33,0.0,0.14,0.06,0.37,4.0,4.28,4.33,0.0,0.11,0.82,2.44,13.0,13.8,15.39,0.15,0.72
2016/09/12,83.7,83.0,50.6,195.0,4201.0,30.0,4426.0,1950.0,1985.0,95.0,31.0,4061.0,365.0,72.9,330.43,135.74,288.86,328.67,138.23,72.17,5.32,114.33,0.82,53.07,56.5,54.02,9.95,30.67,57.0,0.3,44.3,48.75,10.65,28.57,17.25,101.0,0.35,40.5,43.6,58.4,16.6,15.51,12.5,86.0,87.0,101.2,0.15,12.66,0.12,0.24,3.1,2.2,3.33,0.0,0.14,0.06,0.37,4.0,4.28,4.33,0.0,0.11,0.92,2.44,13.0,13.8,15.39,0.15,0.82
2016/10/12,83.7,83.0,51.4,197.0,4269.0,30.0,4496.0,1950.0,2025.0,95.0,31.0,4101.0,395.0,75.45,333.22,136.22,288.49,328.75,138.78,77.36,5.36,116.18,0.82,53.07,56.51,55.11,10.74,31.4,57.0,0.3,44.3,48.75,9.65,30.3,18.63,102.0,0.35,40.5,44.1,58.4,18.48,16.01,12.5,86.0,86.5,100.7,0.15,13.66,0.12,0.24,3.1,2.2,3.33,0.0,0.14,0.08,0.37,4.2,4.5,4.55,0.0,0.1,1.02,2.42,13.0,13.8,15.39,0.15,0.89
2016/11/09,83.7,83.0,52.5,197.0,4361.0,30.0,4588.0,1930.0,2050.0,95.0,32.0,4108.0,480.0,77.07,336.09,136.21,288.17,328.69,139.16,81.53,5.36,118.69,0.82,52.53,56.0,55.79,13.08,31.85,57.0,0.3,44.3,48.75,9.25,31.15,18.63,102.0,0.35,40.5,44.1,58.4,18.48,16.91,12.5,86.0,86.5,100.8,0.15,14.46,0.21,0.24,3.1,2.2,3.36,0.0,0.19,0.08,0.43,4.3,4.65,4.7,0.0,0.11,1.02,2.42,13.0,13.8,15.39,0.15,0.89
2016/12/09,83.7,83.0,52.5,197.0,4361.0,30.0,4588.0,1930.0,2050.0,95.0,32.0,4108.0,480.0,77.22,338.0,136.96,289.44,330.09,139.25,82.85,5.36,118.69,0.82,52.53,56.0,55.79,13.08,31.95,57.0,0.3,43.8,48.25,9.0,32.0,18.63,102.0,0.35,40.5,44.1,58.4,18.48,16.91,12.5,86.0,86.5,100.8,0.15,14.46,0.21,0.24,3.1,2.2,3.36,0.0,0.19,0.08,0.43,4.3,4.65,4.7,0.0,0.11,0.95,2.42,13.8,14.7,16.29,0.15,0.72
2017/01/12,83.4,82.7,52.1,197.0,4307.0,25.0,4528.0,1930.0,2050.0,95.0,33.0,4108.0,420.0,77.19,337.85,137.53,290.34,330.34,139.9,82.32,5.35,117.21,0.68,52.53,56.02,55.79,11.44,31.95,57.0,1.0,44.7,49.15,9.0,31.8,18.63,104.0,0.35,40.5,44.1,59.5,19.38,16.91,12.9,86.0,86.5,100.8,0.15,14.86,0.21,0.24,3.1,2.2,3.36,0.0,0.19,0.08,0.43,4.3,4.65,4.7,0.0,0.11,1.12,2.42,13.8,14.7,16.29,0.15,0.9
2017/02/09,83.4,82.7,52.1,197.0,4307.0,25.0,4528.0,1930.0,2050.0,95.0,33.0,4108.0,420.0,77.19,336.62,137.43,290.74,330.75,140.11,80.38,5.35,117.21,0.68,52.53,56.02,55.79,11.44,31.95,55.5,1.0,45.3,49.75,9.0,29.7,18.63,104.0,0.35,40.5,44.1,59.5,19.38,16.91,12.9,86.0,86.5,100.8,0.15,14.86,0.26,0.24,3.1,2.2,3.36,0.0,0.24,0.08,0.49,4.3,4.7,4.75,0.0,0.12,1.12,2.42,13.8,14.7,16.29,0.15,0.9
