Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2010/05/11,78.1,77.1,42.9,190.0,3310.0,10.0,3510.0,1640.0,1350.0,88.0,66.0,3144.0,365.0,63.76,250.13,86.46,215.31,246.35,87.92,66.09,5.16,90.08,0.27,44.63,48.84,36.74,9.94,26.67,50.00,0.00,38.65,40.32,12.50,23.85,16.83,65.00,0.18,32.80,35.80,28.90,17.31,11.49,15.20,49.00,52.70,63.52,0.45,11.72,0.18,0.23,3.60,2.53,3.83,0.00,0.17,0.05,0.11,3.50,3.57,3.61,0.00,0.05,0.62,1.00,12.60,12.40,13.62,0.03,0.57
2010/06/10,78.1,77.1,42.9,185.0,3310.0,10.0,3505.0,1640.0,1350.0,88.0,66.0,3144.0,360.0,65.47,249.93,86.38,215.30,246.55,88.24,66.99,5.02,90.08,0.27,44.63,48.84,36.74,9.80,26.67,50.00,0.00,38.65,40.32,12.50,23.85,17.47,65.00,0.18,32.80,35.80,28.90,17.95,12.62,14.60,49.00,52.90,63.72,0.45,12.05,0.18,0.23,3.60,2.53,3.83,0.00,0.17,0.05,0.11,3.50,3.57,3.61,0.00,0.05,0.61,1.00,12.60,12.40,13.62,0.03,0.56
2010/07/09,78.9,78.0,42.9,175.0,3345.0,10.0,3530.0,1645.0,1370.0,88.0,67.0,3170.0,360.0,65.35,251.29,87.54,216.3,247.57,88.84,67.76,4.75,91.04,0.27,44.77,48.98,37.29,9.8,25.47,50.0,0.0,38.65,40.32,12.5,22.65,17.92,65.0,0.18,32.8,35.8,28.9,18.4,13.62,14.6,50.0,53.4,64.22,0.45,13.55,0.18,0.23,3.66,2.59,3.89,0.0,0.17,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.61,1.0,12.6,12.4,13.62,0.03,0.56
2010/08/12,78.9,78.0,44.0,160.0,3433.0,10.0,3603.0,1650.0,1435.0,88.0,70.0,3243.0,360.0,63.52,253.69,89.54,219.75,250.92,91.11,64.73,4.34,93.44,0.27,44.91,49.21,39.05,9.8,24.97,50.0,0.0,39.26,40.91,12.5,21.56,16.7,65.0,0.18,33.0,36.0,29.4,16.47,13.92,14.6,52.0,55.8,66.62,0.45,13.45,0.18,0.23,3.66,2.59,3.89,0.0,0.17,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.61,1.0,12.6,12.4,13.62,0.03,0.56
2010/09/10,78.9,78.0,44.7,150.0,3483.0,10.0,3643.0,1650.0,1485.0,88.0,70.0,3293.0,350.0,62.85,254.89,92.94,221.19,252.56,94.52,63.61,4.07,94.79,0.27,44.91,49.21,40.42,9.51,24.55,50.0,0.0,39.5,41.15,13.5,19.9,16.6,65.0,0.18,33.0,36.0,30.4,15.37,14.27,14.4,55.0,56.7,67.72,0.45,15.5,0.18,0.23,3.66,2.59,3.89,0.0,0.17,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.51,1.0,13.0,12.6,13.82,0.03,0.66
2010/10/08,77.7,76.8,44.4,151.0,3408.0,10.0,3569.0,1665.0,1520.0,88.0,32.0,3305.0,265.0,60.44,255.26,93.12,222.12,252.42,94.97,61.42,4.11,92.76,0.27,45.31,48.57,41.37,7.2,22.48,50.0,0.0,39.3,40.95,12.0,19.53,16.17,67.0,0.18,33.1,36.1,31.4,15.85,14.62,14.4,55.0,56.9,67.92,0.45,15.65,0.18,0.23,3.66,2.59,3.89,0.0,0.17,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.51,1.0,13.0,12.6,13.82,0.03,0.66
2010/11/09,77.7,76.8,43.9,151.0,3375.0,10.0,3536.0,1665.0,1570.0,88.0,29.0,3351.0,185.0,60.4,257.36,95.47,224.38,254.67,97.15,61.41,4.11,91.85,0.27,45.31,48.48,42.73,5.03,22.55,52.0,0.0,39.3,40.95,13.0,20.6,16.06,67.5,0.18,33.5,36.5,31.4,15.84,14.47,14.4,57.0,57.8,68.85,0.45,16.57,0.09,0.23,3.45,2.47,3.69,0.0,0.07,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.51,1.0,13.5,13.2,14.42,0.03,0.56
2010/12/10,77.7,76.8,43.9,151.0,3375.0,10.0,3536.0,1665.0,1590.0,88.0,29.0,3371.0,165.0,60.41,257.78,96.17,225.78,256.24,98.0,60.12,4.11,91.85,0.27,45.31,48.48,43.27,4.49,22.45,52.0,0.0,39.3,40.95,13.0,20.5,16.06,67.5,0.18,34.5,37.5,31.4,14.84,14.47,14.4,57.0,57.8,68.85,0.45,16.57,0.09,0.23,3.45,2.47,3.69,0.0,0.07,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.48,1.03,14.0,13.6,14.82,0.03,0.66
2011/01/12,77.4,76.6,43.5,151.0,3329.0,15.0,3495.0,1655.0,1590.0,88.0,22.0,3355.0,140.0,60.23,255.53,96.01,225.21,255.49,98.0,58.28,4.11,90.61,0.41,45.04,48.03,43.27,3.82,22.28,50.5,0.0,39.0,40.65,12.5,19.63,16.06,67.5,0.18,34.5,37.5,31.4,14.84,14.47,14.4,57.0,57.8,68.85,0.45,16.57,0.09,0.23,3.45,2.47,3.69,0.0,0.07,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.38,1.03,14.0,13.6,14.82,0.03,0.55
2011/02/09,77.4,76.6,43.5,151.0,3329.0,15.0,3495.0,1655.0,1590.0,88.0,22.0,3355.0,140.0,60.17,256.1,95.87,225.16,255.29,98.65,58.21,4.11,90.61,0.41,45.04,48.03,43.27,3.82,22.28,49.5,0.0,39.0,40.65,11.6,19.53,16.06,68.5,0.18,34.5,37.5,32.3,14.94,14.47,14.4,57.0,57.8,68.85,0.45,16.57,0.09,0.23,3.45,2.47,3.69,0.0,0.07,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.38,1.03,14.0,13.6,14.82,0.03,0.55
2011/03/10,77.4,76.6,43.5,151.0,3329.0,15.0,3495.0,1655.0,1590.0,91.0,19.0,3355.0,140.0,59.0,258.4,95.79,226.48,256.61,98.26,58.33,4.11,90.61,0.41,45.04,48.03,43.27,3.82,22.28,49.5,0.0,39.0,40.65,11.0,20.13,16.06,70.0,0.18,35.3,38.3,32.5,15.44,13.26,15.2,57.0,57.8,68.85,0.3,16.31,0.09,0.23,3.45,2.47,3.69,0.0,0.07,0.05,0.11,3.6,3.67,3.71,0.0,0.05,0.38,1.03,14.0,13.6,14.82,0.03,0.55
2011/04/08,77.4,76.6,43.5,151.0,3329.0,15.0,3495.0,1650.0,1580.0,89.0,36.0,3355.0,140.0,58.88,260.97,95.37,225.28,255.77,98.51,60.94,4.11,90.61,0.41,44.91,48.31,43.0,3.81,22.28,49.5,0.0,38.24,39.87,11.0,20.91,16.06,72.0,0.18,35.5,38.6,32.75,16.89,13.26,15.2,57.0,57.4,68.45,0.3,16.71,0.09,0.23,3.45,2.47,3.69,0.0,0.07,0.05,0.11,3.7,3.77,3.81,0.0,0.05,0.28,1.03,14.0,13.6,14.77,0.03,0.5
2011/05/11,77.4,76.6,43.5,151.0,3329.0,15.0,3495.0,1650.0,1550.0,89.0,36.0,3325.0,170.0,59.22,261.97,92.63,223.96,254.39,95.62,63.81,4.11,90.61,0.41,44.91,48.31,42.18,4.63,22.28,49.5,0.0,38.35,39.98,9.5,22.3,16.0,73.0,0.03,35.5,38.6,32.25,18.18,13.26,15.2,54.5,56.1,67.05,0.2,15.71,0.22,0.22,3.35,2.35,3.57,0.0,0.22,0.05,0.11,3.7,3.77,3.81,0.0,0.05,0.28,1.08,14.0,13.6,14.8,0.05,0.5
2011/06/09,77.4,76.6,43.5,151.0,3329.0,15.0,3495.0,1650.0,1540.0,89.0,36.0,3315.0,180.0,59.31,263.49,92.03,225.33,255.78,94.52,64.53,4.11,90.61,0.41,44.91,48.31,41.91,4.9,22.28,49.5,0.0,39.0,40.63,9.0,22.15,15.84,74.5,0.03,35.8,39.1,31.85,19.42,13.26,15.2,54.0,56.1,67.05,0.2,15.21,0.22,0.22,3.35,2.35,3.57,0.0,0.22,0.05,0.11,3.7,3.77,3.81,0.0,0.05,0.28,1.08,14.0,13.6,14.8,0.05,0.5
