Date,Area Planted,Area Harvested,Yield,Beginning Stocks,Production,Imports,Total Supply,Crushings,Exports,Seed,Residual,Total Use,Ending Stocks,World BeginningStocks,World Production,World Imports,World DomesticCrush,World DomesticTotal,World Exports,World EndingStocks,United States BeginningStocks,United States Production,United States Imports,United States DomesticCrush,United States DomesticTotal,United States Exports,United States EndingStocks,Argentina BeginningStocks,Argentina Production,Argentina Imports,Argentina DomesticCrush,Argentina DomesticTotal,Argentina Exports,Argentina EndingStocks,Brazil BeginningStocks,Brazil Production,Brazil Imports,Brazil DomesticCrush,Brazil DomesticTotal,Brazil Exports,Brazil EndingStocks,China BeginningStocks,China Production,China Imports,China DomesticCrush,China DomesticTotal,China Exports,China EndingStocks,Japan BeginningStocks,Japan Production,Japan Imports,Japan DomesticCrush,Japan DomesticTotal,Japan Exports,Japan EndingStocks,Mexico BeginningStocks,Mexico Production,Mexico Imports,Mexico DomesticCrush,Mexico DomesticTotal,Mexico Exports,Mexico EndingStocks,European Union BeginningStocks,European Union Production,European Union Imports,European Union DomesticCrush,European Union DomesticTotal,European Union Exports,European Union EndingStocks
2015/05/12,84.6,83.7,46.0,350.0,3850.0,30.0,4230.0,1825.0,1775.0,92.0,38.0,3729.0,500.0,85.54,317.3,119.63,266.22,304.28,121.98,96.22,9.51,104.78,0.82,49.67,53.19,48.31,13.61,31.95,57.0,0.0,42.5,47.6,8.5,32.85,24.93,97.0,0.55,38.5,41.73,49.75,31.0,14.38,11.5,77.5,77.1,89.25,0.25,13.88,0.26,0.22,2.85,1.97,3.05,0.0,0.28,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.27,1.9,12.8,13.7,14.53,0.1,0.34
2015/06/10,84.6,83.7,46.0,330.0,3850.0,30.0,4210.0,1830.0,1775.0,92.0,38.0,3734.0,475.0,83.7,317.58,119.73,267.79,305.64,122.15,93.22,8.97,104.78,0.82,49.8,53.33,48.31,12.93,32.95,57.0,0.0,42.5,47.6,8.5,33.85,22.75,97.0,0.45,39.5,42.73,49.75,27.72,14.38,11.5,77.5,77.1,89.25,0.25,13.88,0.26,0.22,2.85,1.97,3.05,0.0,0.28,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.27,1.98,12.8,13.8,14.63,0.1,0.32
2015/07/10,85.1,84.4,46.0,255.0,3885.0,30.0,4170.0,1840.0,1775.0,92.0,38.0,3744.0,425.0,81.68,318.92,120.77,268.08,306.23,123.34,91.8,6.94,105.73,0.82,50.08,53.6,48.31,11.58,34.28,57.0,0.0,41.5,46.6,8.7,35.98,21.6,97.0,0.45,39.5,42.73,50.75,25.57,14.55,11.5,77.5,77.3,89.45,0.2,13.9,0.23,0.22,2.85,1.97,3.05,0.0,0.25,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.25,1.98,13.1,14.1,14.93,0.1,0.3
2015/08/12,84.3,83.5,46.9,240.0,3916.0,30.0,4186.0,1860.0,1725.0,92.0,40.0,3717.0,470.0,80.57,320.05,123.3,271.61,309.86,127.18,86.88,6.53,106.59,0.82,50.62,54.21,46.95,12.78,33.45,57.0,0.0,41.5,46.6,9.75,34.1,18.32,97.0,0.25,39.55,42.77,54.5,18.3,17.55,11.5,79.0,79.5,91.7,0.2,16.15,0.23,0.22,2.85,1.97,3.05,0.0,0.25,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.55,1.95,13.5,14.5,15.33,0.1,0.57
2015/09/11,84.3,83.5,47.1,210.0,3935.0,30.0,4175.0,1870.0,1725.0,92.0,38.0,3725.0,450.0,78.73,319.61,123.22,271.79,310.1,126.48,84.98,5.71,107.1,0.82,50.89,54.43,46.95,12.26,32.78,57.0,0.0,41.5,46.6,9.75,33.43,18.17,97.0,0.25,39.55,42.77,54.5,18.15,17.55,11.5,79.0,79.5,91.7,0.2,16.15,0.23,0.22,2.85,1.97,3.05,0.0,0.25,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.54,1.95,13.5,14.5,15.33,0.1,0.56
2015/10/09,83.2,82.4,47.2,191.0,3888.0,30.0,4109.0,1880.0,1675.0,92.0,38.0,3685.0,425.0,77.97,320.49,123.92,272.39,310.47,126.77,85.14,5.21,105.81,0.82,51.17,54.69,45.59,11.56,32.25,57.0,0.0,41.5,46.6,9.75,32.9,18.71,100.0,0.25,39.55,42.77,56.45,19.74,17.55,11.5,79.0,79.5,91.7,0.2,16.15,0.21,0.22,2.9,2.02,3.1,0.0,0.23,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.54,2.03,13.6,14.7,15.53,0.1,0.54
2015/11/10,83.2,82.4,48.3,191.0,3981.0,30.0,4203.0,1890.0,1715.0,92.0,41.0,3738.0,465.0,77.58,321.02,125.67,273.36,312.33,129.08,82.86,5.21,108.35,0.82,51.44,55.06,46.68,12.65,31.1,57.0,0.0,42.0,47.05,10.75,30.3,18.39,100.0,0.3,40.0,43.1,57.0,18.59,17.98,11.5,80.5,80.25,93.2,0.2,16.58,0.21,0.22,2.9,2.02,3.1,0.0,0.23,0.18,0.36,4.05,4.35,4.39,0.0,0.2,0.83,2.05,13.7,14.8,15.67,0.1,0.81
2015/12/09,83.2,82.4,48.3,191.0,3981.0,30.0,4203.0,1890.0,1715.0,92.0,41.0,3738.0,465.0,77.66,320.11,126.76,273.73,312.32,129.62,82.58,5.21,108.35,0.82,51.44,55.06,46.68,12.65,31.66,57.0,0.0,42.0,47.05,11.25,30.36,18.86,100.0,0.3,40.0,43.1,57.0,19.06,17.98,11.5,80.5,80.25,93.2,0.2,16.58,0.22,0.22,2.9,2.02,3.1,0.0,0.24,0.08,0.36,4.05,4.35,4.39,0.0,0.1,0.45,2.05,13.7,14.8,15.67,0.1,0.43
2016/01/12,82.7,81.8,48.0,191.0,3930.0,30.0,4150.0,1890.0,1690.0,92.0,39.0,3711.0,440.0,76.93,319.01,127.16,275.35,314.04,129.79,79.28,5.19,106.95,0.82,51.44,55.0,45.99,11.96,31.66,57.0,0.0,42.85,47.9,11.8,28.96,19.01,100.0,0.3,40.0,43.0,57.0,19.31,17.03,12.0,80.5,80.7,94.15,0.2,15.18,0.22,0.22,2.9,2.02,3.1,0.0,0.24,0.08,0.36,4.05,4.35,4.39,0.0,0.1,0.58,2.05,13.7,14.8,15.67,0.1,0.56
2016/02/09,82.7,81.8,48.0,191.0,3930.0,30.0,4150.0,1880.0,1690.0,92.0,39.0,3701.0,450.0,77.08,320.51,127.19,275.86,314.52,129.85,80.42,5.19,106.95,0.82,51.17,54.73,45.99,12.23,31.66,58.5,0.0,43.5,48.56,11.8,29.8,19.01,100.0,0.3,40.0,43.0,57.0,19.31,17.03,12.0,80.5,80.7,94.15,0.2,15.18,0.22,0.22,2.9,2.02,3.1,0.0,0.24,0.08,0.36,4.05,4.35,4.39,0.0,0.1,0.58,2.05,13.7,14.8,15.67,0.1,0.56
